providerName,providerNationalID,avgCoveredCharges,averagePayments
BON SECOURS HOSPITAL,210013,13516,12707
FRANKLIN SQUARE HOSPITAL CENTER,210015,14145,13327
GOOD SAMARITAN HOSPITAL,210056,13304,12560
GREATER BALTIMORE MEDICAL CENTER,210044,12587,11865
HARBOR HOSPITAL,210034,13804,13007
JAMES LAWRENCE KERNAN HOSPITAL INC,210058,14154,13330
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,16034,15109
JOHNS HOPKINS HOSPITAL THE,210009,24043,22679
MARYLAND GENERAL  HOSPITAL,210038,13866,13037
MERCY MEDICAL CENTER INC,210008,13221,12422
SAINT AGNES HOSPITAL,210011,14545,13762
SINAI HOSPITAL OF BALTIMORE,210012,15650,14769
UNION MEMORIAL HOSPITAL,210024,15682,14797
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,20732,19563
