description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,7408,7025
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,13106,12395
ATHEROSCLEROSIS W/O MCC,303,6305,5971
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,20227,19252
BRONCHITIS & ASTHMA W CC/MCC,202,7575,7121
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,9587,8990
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,15798,14850
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,5556,5223
CELLULITIS W/O MCC,603,9464,8924
CERVICAL SPINAL FUSION W/O CC/MCC,473,27250,25798
CHEST PAIN,313,5947,5688
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,8477,7997
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,12863,12182
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,6324,5945
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,9540,9090
DIABETES W CC,638,9668,9088
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,9559,8985
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,17398,16355
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,6812,6445
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,9007,8467
G.I. HEMORRHAGE W CC,378,12338,11598
G.I. HEMORRHAGE W/O CC/MCC,379,7131,6703
G.I. OBSTRUCTION W CC,389,10582,9947
G.I. OBSTRUCTION W/O CC/MCC,390,6534,6236
HEART FAILURE & SHOCK W CC,292,8485,8039
HEART FAILURE & SHOCK W MCC,291,13038,12256
HEART FAILURE & SHOCK W/O CC/MCC,293,5660,5370
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,20185,18974
HYPERTENSION W/O MCC,305,5223,4910
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,11541,10868
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,21220,19946
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,8578,8142
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,11246,10572
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,7713,7257
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,12757,12129
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,10972,10314
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,23490,22202
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,20371,19149
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,57244,53809
MEDICAL BACK PROBLEMS W/O MCC,552,7025,6604
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,10962,10304
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,6852,6490
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,15211,14299
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,8020,7627
OTHER VASCULAR PROCEDURES W CC,253,28217,26524
OTHER VASCULAR PROCEDURES W MCC,252,49838,46847
PERIPHERAL VASCULAR DISORDERS W CC,300,7689,7228
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,14818,13929
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,8265,7769
PULMONARY EDEMA & RESPIRATORY FAILURE,189,16936,15920
PULMONARY EMBOLISM W/O MCC,176,9672,9092
RED BLOOD CELL DISORDERS W MCC,811,12449,11702
RED BLOOD CELL DISORDERS W/O MCC,812,6903,6531
RENAL FAILURE W CC,683,10407,9783
RENAL FAILURE W MCC,682,19765,18579
RENAL FAILURE W/O CC/MCC,684,7080,6655
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,13216,12505
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,47617,44760
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,21665,20365
SEIZURES W/O MCC,101,4894,4601
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,21599,20312
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,12976,12240
SIGNS & SYMPTOMS W/O MCC,948,6995,6575
SIMPLE PNEUMONIA & PLEURISY W CC,194,9603,9027
SIMPLE PNEUMONIA & PLEURISY W MCC,193,16563,15597
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,4830,4540
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,44828,42347
SYNCOPE & COLLAPSE,312,8537,8071
TRANSIENT ISCHEMIA,069,6879,6466
