description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,5615,5278
BRONCHITIS & ASTHMA W CC/MCC,202,9310,8752
BRONCHITIS & ASTHMA W/O CC/MCC,203,6835,6425
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,8576,8062
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,4794,4507
CELLULITIS W/O MCC,603,7903,7429
CHEST PAIN,313,4774,4487
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,9428,8862
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,14768,13882
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7669,7209
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,6662,6262
FRACTURES OF HIP & PELVIS W/O MCC,536,7944,7467
G.I. HEMORRHAGE W CC,378,9626,9049
G.I. HEMORRHAGE W/O CC/MCC,379,5752,5407
G.I. OBSTRUCTION W CC,389,9863,9396
HEART FAILURE & SHOCK W CC,292,9827,9237
HEART FAILURE & SHOCK W MCC,291,12184,11454
HEART FAILURE & SHOCK W/O CC/MCC,293,6195,5823
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,7543,7090
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,8469,7961
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,17073,16048
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,8562,8048
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,17620,16563
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,25498,23995
MEDICAL BACK PROBLEMS W/O MCC,552,8234,7740
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8971,8461
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,10171,9561
PERIPHERAL VASCULAR DISORDERS W CC,300,9046,8503
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24327,22868
PULMONARY EMBOLISM W/O MCC,176,14267,13411
RED BLOOD CELL DISORDERS W/O MCC,812,9479,8910
RENAL FAILURE W CC,683,12154,11425
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,12464,11716
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,17013,15992
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,16720,15717
SIGNS & SYMPTOMS W/O MCC,948,9757,9172
SIMPLE PNEUMONIA & PLEURISY W CC,194,11441,10773
SYNCOPE & COLLAPSE,312,6789,6381
TRANSIENT ISCHEMIA,069,5781,5434
