description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,10476,9847
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,15377,14454
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,7126,6699
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,6083,5718
ATHEROSCLEROSIS W/O MCC,303,4987,4713
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,9383,8871
BRONCHITIS & ASTHMA W CC/MCC,202,6528,6167
BRONCHITIS & ASTHMA W/O CC/MCC,203,7727,7264
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,8348,7848
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,13258,12463
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,5337,5028
CELLULITIS W MCC,602,13533,12721
CELLULITIS W/O MCC,603,7270,6865
CHEST PAIN,313,4716,4466
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,9001,8466
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,11092,10435
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,6587,6202
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,19743,18638
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,8759,8258
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,9256,8701
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,9084,8539
DIABETES W CC,638,7906,7481
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,10853,10202
DYSEQUILIBRIUM,149,7298,6860
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,12408,11663
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,6894,6498
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,9271,8715
FRACTURES OF HIP & PELVIS W/O MCC,536,8123,7636
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,7915,7440
G.I. HEMORRHAGE W CC,378,8533,8021
G.I. HEMORRHAGE W MCC,377,15440,14513
G.I. HEMORRHAGE W/O CC/MCC,379,6088,5723
G.I. OBSTRUCTION W CC,389,8804,8319
G.I. OBSTRUCTION W/O CC/MCC,390,4978,4681
HEART FAILURE & SHOCK W CC,292,9348,8811
HEART FAILURE & SHOCK W MCC,291,12838,12086
HEART FAILURE & SHOCK W/O CC/MCC,293,5769,5423
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,17103,16077
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,25214,23701
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,15491,14562
HYPERTENSION W/O MCC,305,5386,5063
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,56028,52666
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,13136,12348
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,16673,15672
