city,avgCoveredCharges,averagePayments
ANNAPOLIS,10466,9838
BALTIMORE,12027,11237
BEL AIR,8508,7997
BERLIN,10508,9935
BETHESDA,8569,8060
CHESTERTOWN,17620,16563
CLINTON,11220,10547
COLUMBIA,11078,10413
CUMBERLAND,16237,15307
EASTON,14194,13342
FREDERICK,11118,10474
GLEN BURNIE,10658,10018
HAGERSTOWN,11114,10495
LA PLATA,8699,8177
OLNEY,10289,9672
PRINCE FREDERIC,8461,7953
RANDALLSTOWN,10389,9765
ROCKVILLE,12822,12053
SALISBURY,13633,14472
SILVER SPRING,7396,6952
TAKOMA PARK,10537,9905
TOWSON,9009,8469
WESTMINSTER,9749,9164
