description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,6462,6075
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,12129,11401
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,4713,4430
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,6345,5964
ATHEROSCLEROSIS W/O MCC,303,4401,4137
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,5975,5617
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,5601,5322
CELLULITIS W/O MCC,603,6512,6162
CHEST PAIN,313,5335,5091
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,7815,7364
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,10517,9940
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,6247,5917
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,8006,7564
DIABETES W CC,638,7702,7299
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,11526,10979
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,7253,6878
G.I. HEMORRHAGE W CC,378,9841,9250
G.I. HEMORRHAGE W MCC,377,13997,13157
G.I. HEMORRHAGE W/O CC/MCC,379,6086,5721
HEART FAILURE & SHOCK W CC,292,9960,9393
HEART FAILURE & SHOCK W MCC,291,19999,18799
HEART FAILURE & SHOCK W/O CC/MCC,293,7196,6764
HYPERTENSION W/O MCC,305,5477,5148
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,10654,10014
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,7756,7371
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,13358,12556
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,8168,7678
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,25970,24462
MEDICAL BACK PROBLEMS W/O MCC,552,7150,6721
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,7529,7077
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,6150,5818
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,8616,8099
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,15301,14383
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,5561,5228
PSYCHOSES,885,9655,9109
PULMONARY EDEMA & RESPIRATORY FAILURE,189,11585,10890
PULMONARY EMBOLISM W/O MCC,176,8831,8301
RED BLOOD CELL DISORDERS W/O MCC,812,7861,7491
RENAL FAILURE W CC,683,7687,7304
RENAL FAILURE W MCC,682,13900,13066
RENAL FAILURE W/O CC/MCC,684,4868,4576
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,18003,16923
SEIZURES W/O MCC,101,8540,8028
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,13738,12928
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,6944,6528
SIGNS & SYMPTOMS W/O MCC,948,5036,4734
SIMPLE PNEUMONIA & PLEURISY W CC,194,8403,7917
SIMPLE PNEUMONIA & PLEURISY W MCC,193,25577,24161
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,5798,5450
SYNCOPE & COLLAPSE,312,7258,6822
TRANSIENT ISCHEMIA,069,6564,6170
