description,code,avgCoveredCharges,averagePayments
ATHEROSCLEROSIS W/O MCC,303,4622,4344
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,5342,5022
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,4343,4131
CELLULITIS W/O MCC,603,6243,5868
CHEST PAIN,313,4517,4246
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,8558,8082
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,9495,8925
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,6894,6480
DIABETES W CC,638,7032,6610
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,6578,6184
G.I. HEMORRHAGE W CC,378,9406,8920
G.I. HEMORRHAGE W/O CC/MCC,379,7554,7101
G.I. OBSTRUCTION W CC,389,5274,4958
G.I. OBSTRUCTION W/O CC/MCC,390,4278,4021
HEART FAILURE & SHOCK W CC,292,9091,8546
HEART FAILURE & SHOCK W MCC,291,14741,13856
HEART FAILURE & SHOCK W/O CC/MCC,293,5557,5223
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,14610,13734
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,7836,7396
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,6741,6337
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,19874,18697
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,23425,22020
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,6040,5677
RENAL FAILURE W CC,683,9454,8886
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,13754,12955
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,7450,7003
SIMPLE PNEUMONIA & PLEURISY W CC,194,7464,7016
SIMPLE PNEUMONIA & PLEURISY W MCC,193,11110,10443
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,7145,6716
