description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,8483,7974
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,12914,12139
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,5163,4853
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,5789,5442
ATHEROSCLEROSIS W/O MCC,303,4765,4609
BRONCHITIS & ASTHMA W CC/MCC,202,6339,5959
BRONCHITIS & ASTHMA W/O CC/MCC,203,4877,4584
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,7896,7461
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,14300,13442
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,5351,5065
CELLULITIS W/O MCC,603,8330,7830
CHEST PAIN,313,5571,5254
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,8319,7820
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,12406,11661
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,6849,6438
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,8923,8472
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,6953,6536
DIABETES W CC,638,8352,7927
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,8849,8318
DYSEQUILIBRIUM,149,6601,6232
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,8848,8357
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,5998,5656
FRACTURES OF HIP & PELVIS W/O MCC,536,6489,6100
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,7056,6632
G.I. HEMORRHAGE W CC,378,8999,8474
G.I. HEMORRHAGE W MCC,377,12243,11509
G.I. HEMORRHAGE W/O CC/MCC,379,7364,6923
G.I. OBSTRUCTION W CC,389,6932,6516
G.I. OBSTRUCTION W/O CC/MCC,390,4660,4409
HEART FAILURE & SHOCK W CC,292,8578,8063
HEART FAILURE & SHOCK W MCC,291,10717,10092
HEART FAILURE & SHOCK W/O CC/MCC,293,5740,5395
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,16890,15877
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,13963,13125
HYPERTENSION W/O MCC,305,6237,5863
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,30574,28740
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,11483,10794
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,12872,12100
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,9468,8929
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,8710,8187
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,6192,5820
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,15340,14487
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,10289,9672
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,36431,34245
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,18949,17889
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,18023,16941
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,32598,30770
MEDICAL BACK PROBLEMS W/O MCC,552,7686,7241
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,11968,11286
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,6332,5962
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,8840,8310
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,16933,15959
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,8989,8607
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,8348,7847
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,10585,9950
OTHER VASCULAR PROCEDURES W CC,253,16612,15615
PERIPHERAL VASCULAR DISORDERS W CC,300,8679,8158
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,6202,5830
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,11125,10551
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,5592,5257
PSYCHOSES,885,9215,8695
PULMONARY EDEMA & RESPIRATORY FAILURE,189,15512,14581
PULMONARY EMBOLISM W/O MCC,176,10630,10037
RED BLOOD CELL DISORDERS W MCC,811,12472,11784
RED BLOOD CELL DISORDERS W/O MCC,812,8618,8124
RENAL FAILURE W CC,683,8354,7853
RENAL FAILURE W MCC,682,15059,14182
RENAL FAILURE W/O CC/MCC,684,6502,6112
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,9885,9292
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,15726,14783
SEIZURES W/O MCC,101,7053,6733
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,18791,17670
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,9233,8707
SIGNS & SYMPTOMS W/O MCC,948,6192,5928
SIMPLE PNEUMONIA & PLEURISY W CC,194,9606,9030
SIMPLE PNEUMONIA & PLEURISY W MCC,193,11740,11036
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,5458,5184
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,21996,20742
SYNCOPE & COLLAPSE,312,6568,6201
TRANSIENT ISCHEMIA,069,7676,7215
