description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,34611,12704
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,55964,21698
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,22204,7759
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,17039,7011
ATHEROSCLEROSIS W/O MCC,303,13522,5661
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,23881,11493
BRONCHITIS & ASTHMA W CC/MCC,202,21931,10016
BRONCHITIS & ASTHMA W/O CC/MCC,203,12061,7410
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,18216,8434
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,29191,12546
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12783,6317
CELLULITIS W MCC,602,27099,14378
CELLULITIS W/O MCC,603,17698,9461
CERVICAL SPINAL FUSION W/O CC/MCC,473,62984,21702
CHEST PAIN,313,15239,5581
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,20816,9304
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,30948,12715
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,13011,7478
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,78650,29436
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,40511,13263
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,24372,9238
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,25596,11838
DIABETES W CC,638,21278,9981
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,27873,12848
DYSEQUILIBRIUM,149,14322,6088
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,34412,13035
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19931,8494
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,22440,9835
FRACTURES OF HIP & PELVIS W/O MCC,536,19253,7383
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,19203,9492
G.I. HEMORRHAGE W CC,378,28532,11403
G.I. HEMORRHAGE W MCC,377,54924,19831
G.I. HEMORRHAGE W/O CC/MCC,379,20811,8400
G.I. OBSTRUCTION W CC,389,27798,10763
G.I. OBSTRUCTION W/O CC/MCC,390,18143,7023
HEART FAILURE & SHOCK W CC,292,23410,10662
HEART FAILURE & SHOCK W MCC,291,44505,17649
HEART FAILURE & SHOCK W/O CC/MCC,293,15738,7195
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,52081,22002
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,75932,29973
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,41739,14689
HYPERTENSION W/O MCC,305,15204,5950
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,172082,82093
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,38730,12406
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,55105,19264
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,23644,9577
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,27574,12145
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,17398,7861
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,83841,30386
