description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,21393,8237
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,29475,11683
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,15041,5165
ATHEROSCLEROSIS W/O MCC,303,13678,3863
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16485,5557
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,24712,8208
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12352,3965
CELLULITIS W/O MCC,603,16758,6014
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17044,6292
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,22711,7726
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12269,4545
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,21450,8183
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,16215,5707
DIABETES W CC,638,15141,5562
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,32189,8600
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14960,4802
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,31909,7583
FRACTURES OF HIP & PELVIS W/O MCC,536,9370,4750
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,12262,4680
G.I. HEMORRHAGE W CC,378,18021,6726
G.I. HEMORRHAGE W MCC,377,39833,13799
G.I. OBSTRUCTION W CC,389,16955,6230
G.I. OBSTRUCTION W/O CC/MCC,390,9808,4138
HEART FAILURE & SHOCK W CC,292,19303,6750
HEART FAILURE & SHOCK W MCC,291,29676,9853
HEART FAILURE & SHOCK W/O CC/MCC,293,12624,4538
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,44023,12290
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,35929,11002
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,111139,44031
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,18903,7618
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,27732,11830
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,13508,5392
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,23431,8840
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14327,5159
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,27830,12555
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,64946,23122
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,17980,8440
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,47386,13995
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,67597,17839
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,123099,39465
MEDICAL BACK PROBLEMS W/O MCC,552,13664,5408
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,19151,8455
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13520,4740
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,35587,12369
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,22869,6656
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,23847,10310
OTHER VASCULAR PROCEDURES W CC,253,48776,15851
OTHER VASCULAR PROCEDURES W MCC,252,57765,22742
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,41600,10620
PERIPHERAL VASCULAR DISORDERS W CC,300,15835,7081
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,42527,17297
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,22708,9245
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10703,4153
PULMONARY EDEMA & RESPIRATORY FAILURE,189,26277,8322
PULMONARY EMBOLISM W/O MCC,176,20271,7145
RED BLOOD CELL DISORDERS W/O MCC,812,11968,5452
RENAL FAILURE W CC,683,17780,6954
RENAL FAILURE W MCC,682,26758,10461
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,33974,13687
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,110964,39603
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,50753,16531
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,106925,38156
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,35048,12615
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,21913,7629
SIGNS & SYMPTOMS W/O MCC,948,11103,4310
SIMPLE PNEUMONIA & PLEURISY W CC,194,19579,7157
SIMPLE PNEUMONIA & PLEURISY W MCC,193,29898,10551
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,15487,4747
SYNCOPE & COLLAPSE,312,14769,4746
TRANSIENT ISCHEMIA,069,15415,5000
