city,avgCoveredCharges,averagePayments
ANN ARBOR,16406,5732
BATTLE CREEK,9318,3915
BAY CITY,9192,3682
BRIGHTON,5285,3736
CLINTON TOWNSHI,8475,3957
DEARBORN,16177,4803
DETROIT,15153,6104
FARMINGTON HILL,8786,5560
FLINT,21444,5731
GRAND RAPIDS,10491,4774
GRAYLING,12866,4197
IRON MOUNTAIN,9213,3798
JACKSON,14149,3862
KALAMAZOO,15062,4591
LANSING,16828,4746
LIVONIA,6310,3755
MARQUETTE,8738,4784
MIDLAND,10440,4343
PONTIAC,4613,5677
ROCHESTER,16944,3972
ROYAL OAK,18761,5223
SAGINAW,5407,3883
SOUTHFIELD,15113,5025
TAYLOR,17595,4021
TRAVERSE CITY,13952,4647
TROY,16467,4496
WARREN,13167,4214
WYANDOTTE,8732,3952
