city,avgCoveredCharges,averagePayments
ADRIAN,23187,6705
ALMA,12880,8449
ALPENA,24677,9776
ANN ARBOR,31302,12117
BAD AXE,12341,9431
BATTLE CREEK,19386,8166
BAY CITY,26024,7978
BIG RAPIDS,9663,8324
BRIGHTON,5285,3736
CADILLAC,15255,7075
CARSON CITY,13392,8829
CHELSEA,17957,9533
CLARE,11980,5897
CLINTON TOWNSHI,18356,8282
COLDWATER,15983,6983
COMMERCE TOWNSH,26681,9334
DEARBORN,29439,10509
DETROIT,26675,12439
EAST CHINA,14087,6311
ESCANABA,21764,7903
FARMINGTON HILL,17019,9833
FLINT,28201,11008
FREMONT,14914,7409
GARDEN CITY,14936,8095
GAYLORD,17444,9540
GRAND BLANC,30766,12469
GRAND HAVEN,19196,8548
GRAND RAPIDS,20176,10967
GRAYLING,13641,6619
GREENVILLE,14214,7726
GROSSE POINTE,19564,8089
HANCOCK,14796,9511
HASTINGS,15560,6834
HILLSDALE,16009,7197
HOLLAND,19931,8099
HOWELL,17571,7452
IRON MOUNTAIN,16800,6981
JACKSON,29028,8377
KALAMAZOO,29609,10397
LANSING,30546,10001
LAPEER,23482,7396
LIVONIA,16905,7284
LUDINGTON,21779,8534
MARQUETTE,22133,11980
MARSHALL,23357,6854
MIDLAND,20845,9275
MONROE,18212,6928
MOUNT CLEMENS,20942,9562
MOUNT PLEASANT,15674,6052
MUSKEGON,17492,9307
OWOSSO,25742,7714
PETOSKEY,21245,9669
PONTIAC,23963,11388
PORT HURON,20340,7358
ROCHESTER,28978,8305
ROYAL OAK,29926,10934
SAGINAW,26878,9197
SAULT SAINTE MA,16039,9462
SOUTH HAVEN,15506,9891
SOUTHFIELD,25106,10239
ST JOSEPH,17695,8809
STURGIS,11444,7424
TAWAS CITY,9554,7625
TAYLOR,23607,8148
THREE RIVERS,13251,6714
TRAVERSE CITY,25555,9843
TRENTON,25765,8789
TROY,26999,8179
W BLOOMFIELD,24648,7562
WARREN,23332,8570
WATERVLIET,18477,9271
WAYNE,20996,7952
WEST BRANCH,11420,6705
WYANDOTTE,19126,8481
WYOMING,21541,11127
ZEELAND,18089,7768
