description,code,avgCoveredCharges,averagePayments
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,14222,8124
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,10771,4895
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12751,4838
HEART FAILURE & SHOCK W CC,292,8556,6524
HEART FAILURE & SHOCK W/O CC/MCC,293,7106,4717
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,25353,13326
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,8670,7171
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,7353,5098
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,28316,14530
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9467,4760
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,16003,12274
SIMPLE PNEUMONIA & PLEURISY W CC,194,12110,6756
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9199,4942
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,56440,30459
