description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,22235,8874
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,32481,13590
ATHEROSCLEROSIS W/O MCC,303,12806,4501
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,17709,7474
BRONCHITIS & ASTHMA W CC/MCC,202,14231,6498
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14667,6540
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,19735,9523
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12546,4594
CELLULITIS W MCC,602,23172,11146
CELLULITIS W/O MCC,603,15347,6564
CERVICAL SPINAL FUSION W/O CC/MCC,473,36101,15444
CHEST PAIN,313,12090,4223
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,18356,7494
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,21922,9132
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17303,5682
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,36523,15258
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22511,8395
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,14879,6985
DIABETES W CC,638,17710,6485
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,21555,7867
DYSEQUILIBRIUM,149,19040,4999
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,23107,8917
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16449,5608
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,24364,7618
FRACTURES OF HIP & PELVIS W/O MCC,536,11806,5440
G.I. HEMORRHAGE W CC,378,19284,7915
G.I. HEMORRHAGE W MCC,377,36302,13502
G.I. OBSTRUCTION W CC,389,18387,7133
G.I. OBSTRUCTION W/O CC/MCC,390,15637,5016
HEART FAILURE & SHOCK W CC,292,16703,7886
HEART FAILURE & SHOCK W MCC,291,25895,11358
HEART FAILURE & SHOCK W/O CC/MCC,293,13671,5373
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,41002,14018
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,55227,21833
HYPERTENSION W/O MCC,305,13197,4725
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,97340,40100
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,18217,8751
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,28259,13667
