description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,16621,8620
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,25395,14517
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,13572,5856
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,10947,4683
ATHEROSCLEROSIS W/O MCC,303,9384,4270
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,14073,7602
BRONCHITIS & ASTHMA W CC/MCC,202,12176,6726
BRONCHITIS & ASTHMA W/O CC/MCC,203,9301,4500
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,12148,6508
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,18409,9555
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,6956,4383
CELLULITIS W MCC,602,16471,10615
CELLULITIS W/O MCC,603,11350,6316
CERVICAL SPINAL FUSION W/O CC/MCC,473,31495,16201
CHEST PAIN,313,8367,4094
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13993,7354
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16741,8681
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9940,5381
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,45771,19096
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,20518,8932
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,12944,6378
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,12263,6762
DIABETES W CC,638,10557,6213
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,16237,8230
DYSEQUILIBRIUM,149,10459,4997
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,15708,8878
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12422,5546
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,15543,7885
FRACTURES OF HIP & PELVIS W/O MCC,536,9208,5252
