description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,23836,8519
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,32481,12838
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,19780,6166
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,15062,4591
ATHEROSCLEROSIS W/O MCC,303,11660,4195
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,33392,6895
BRONCHITIS & ASTHMA W CC/MCC,202,14696,5961
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,12971,5979
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,26555,8973
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10169,4198
CELLULITIS W MCC,602,25560,10254
CELLULITIS W/O MCC,603,14374,5843
CERVICAL SPINAL FUSION W/O CC/MCC,473,72575,14274
CHEST PAIN,313,11815,3900
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15828,6767
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,18767,8288
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11822,5139
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,33636,13822
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22840,7657
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,16015,5985
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,17652,6021
DIABETES W CC,638,17564,5621
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,19918,7062
DYSEQUILIBRIUM,149,12110,4446
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,24074,9226
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15811,5280
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,28823,7302
FRACTURES OF HIP & PELVIS W/O MCC,536,14195,4982
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,18004,4993
G.I. HEMORRHAGE W CC,378,17364,7216
G.I. HEMORRHAGE W MCC,377,33539,12291
G.I. OBSTRUCTION W CC,389,18936,6532
G.I. OBSTRUCTION W/O CC/MCC,390,14564,4859
HEART FAILURE & SHOCK W CC,292,15240,7101
HEART FAILURE & SHOCK W MCC,291,27198,10273
HEART FAILURE & SHOCK W/O CC/MCC,293,11070,4821
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,41015,12802
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,54001,20581
HYPERTENSION W/O MCC,305,9858,4297
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,116962,39246
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,23557,8067
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,42724,13195
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,22304,5933
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,18799,8057
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15202,5523
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,44953,11814
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,32345,8121
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,74984,21373
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,84298,24176
