description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,11990,8830
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,17184,13819
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,8417,6132
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,10798,6586
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,11938,9689
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,7675,4475
CELLULITIS W/O MCC,603,11749,6463
CHEST PAIN,313,9248,4318
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,9515,7612
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,14129,9256
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7926,5572
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10765,5589
G.I. HEMORRHAGE W CC,378,14650,8010
HEART FAILURE & SHOCK W CC,292,11467,8033
HEART FAILURE & SHOCK W MCC,291,14908,11369
HEART FAILURE & SHOCK W/O CC/MCC,293,7749,5286
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,12397,9161
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,20470,14970
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9557,6085
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,37766,15942
MEDICAL BACK PROBLEMS W/O MCC,552,13773,6442
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,7994,5431
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,7563,4859
PULMONARY EMBOLISM W/O MCC,176,12203,8406
RENAL FAILURE W CC,683,10301,7968
RENAL FAILURE W MCC,682,17145,12292
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,18993,11689
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,26834,16160
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,41187,18099
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,24370,14351
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,12163,8743
SIMPLE PNEUMONIA & PLEURISY W CC,194,11741,7961
SIMPLE PNEUMONIA & PLEURISY W MCC,193,22038,11499
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9398,5573
SYNCOPE & COLLAPSE,312,9394,5632
