description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,4937,4994
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,5956,5691
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,4740,3988
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,6702,4366
G.I. HEMORRHAGE W CC,378,8695,5996
HEART FAILURE & SHOCK W CC,292,7144,5970
HEART FAILURE & SHOCK W MCC,291,11009,8603
HEART FAILURE & SHOCK W/O CC/MCC,293,5228,3956
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,5786,4135
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,17752,12729
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,4266,4146
PULMONARY EDEMA & RESPIRATORY FAILURE,189,9831,7808
RED BLOOD CELL DISORDERS W/O MCC,812,5904,4752
RENAL FAILURE W CC,683,6237,5757
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,13212,11790
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,11268,10407
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,7769,6269
SIMPLE PNEUMONIA & PLEURISY W CC,194,6528,5739
SIMPLE PNEUMONIA & PLEURISY W MCC,193,9525,8671
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,6497,4319
SYNCOPE & COLLAPSE,312,7033,4309
