description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,15401,7091
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,19697,8984
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,12748,5118
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9830,3731
CELLULITIS W/O MCC,603,13216,5406
CHEST PAIN,313,9815,3466
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15684,6414
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,11791,7444
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14254,5262
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,11404,4511
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,14996,6426
G.I. HEMORRHAGE W CC,378,15431,6363
G.I. OBSTRUCTION W/O CC/MCC,390,12365,4017
HEART FAILURE & SHOCK W CC,292,13132,6152
HEART FAILURE & SHOCK W MCC,291,18232,8727
HEART FAILURE & SHOCK W/O CC/MCC,293,11401,4431
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,28258,11602
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,18821,7616
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,17046,9574
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,12571,5169
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,10814,4875
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,67496,20280
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,34340,13330
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,33608,16221
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,10094,4330
PULMONARY EDEMA & RESPIRATORY FAILURE,189,18627,7957
RED BLOOD CELL DISORDERS W/O MCC,812,15177,5425
RENAL FAILURE W CC,683,15230,5847
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,15848,9143
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,29373,15038
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,36172,12294
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,22404,10866
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,16070,7267
SIMPLE PNEUMONIA & PLEURISY W CC,194,14674,6193
SIMPLE PNEUMONIA & PLEURISY W MCC,193,14000,8720
SYNCOPE & COLLAPSE,312,12638,4520
