city,avgCoveredCharges,averagePayments
ALBERT LEA,11893,6128
ALEXANDRIA,14495,6333
AUSTIN,11224,5966
BEMIDJI,15431,6363
BRAINERD,18624,6530
BUFFALO,16734,6263
BURNSVILLE,24091,6629
CAMBRIDGE,24724,5988
COON RAPIDS,26956,6864
DETROIT LAKES,15045,8768
DULUTH,16396,6802
EDINA,19994,6095
FAIRMONT,11379,7709
FARIBAULT,8773,7772
FERGUS FALLS,17900,5897
FRIDLEY,29942,6671
GRAND RAPIDS,13025,6289
HIBBING,16118,6888
HUTCHINSON,15114,7626
MANKATO,19717,6731
MAPLE GROVE,14900,6275
MAPLEWOOD,19094,7221
MINNEAPOLIS,27603,9757
ROBBINSDALE,23789,6827
ROCHESTER,21211,9027
SAINT CLOUD,19950,7882
SAINT LOUIS PAR,10942,6414
SAINT PAUL,23953,7898
SHAKOPEE,21892,6292
STILLWATER,14217,5958
VIRGINIA,11459,6942
WACONIA,14140,5848
WILLMAR,15917,7290
WINONA,14876,7030
WOODBURY,18237,6193
WYOMING,16655,6824
