city,avgCoveredCharges,averagePayments
ALBERT LEA,15318,7027
ALEXANDRIA,21768,10316
AUSTIN,15007,7146
BEMIDJI,20174,8342
BRAINERD,17434,7668
BUFFALO,19609,7156
BURNSVILLE,24870,8601
CAMBRIDGE,26022,7376
COON RAPIDS,34435,9031
DETROIT LAKES,20189,10098
DULUTH,27334,10349
EDINA,29841,9465
FAIRMONT,15038,8467
FARIBAULT,12407,8903
FERGUS FALLS,18585,6937
FRIDLEY,32649,8156
GRAND RAPIDS,13708,7584
HASTINGS,22909,7880
HIBBING,15793,7036
HUTCHINSON,20577,9883
MANKATO,21334,9523
MAPLE GROVE,23629,8145
MAPLEWOOD,24889,8011
MINNEAPOLIS,44556,13573
NORTHFIELD,23199,8435
OWATONNA,28180,10193
PRINCETON,20981,9262
RED WING,18860,8953
ROBBINSDALE,34759,9361
ROCHESTER,28953,13613
SAINT CLOUD,28897,10861
SAINT LOUIS PAR,16135,8873
SAINT PAUL,34092,10439
SHAKOPEE,21765,7324
STILLWATER,22218,10611
VIRGINIA,15754,8598
WACONIA,19150,8007
WILLMAR,17292,8661
WINONA,14412,7287
WOODBURY,27994,9087
WORTHINGTON,13954,7422
WYOMING,20402,7578
