description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,14896,8430
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,12884,6421
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,21346,9836
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10855,4408
CELLULITIS W/O MCC,603,11288,6478
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,10254,7300
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,12855,9030
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11792,5583
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12290,5547
G.I. HEMORRHAGE W CC,378,11379,7709
HEART FAILURE & SHOCK W CC,292,15125,7870
HEART FAILURE & SHOCK W MCC,291,14748,11416
HEART FAILURE & SHOCK W/O CC/MCC,293,11803,5151
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,15742,9160
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9565,6564
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,31593,16313
MEDICAL BACK PROBLEMS W/O MCC,552,12387,6344
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12109,5348
PULMONARY EDEMA & RESPIRATORY FAILURE,189,17786,9905
RED BLOOD CELL DISORDERS W/O MCC,812,9606,6048
RENAL FAILURE W CC,683,10855,7701
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,17918,11331
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,19911,14010
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,15530,8784
SIMPLE PNEUMONIA & PLEURISY W CC,194,13174,7821
SIMPLE PNEUMONIA & PLEURISY W MCC,193,16571,10150
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10567,5481
