description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,21436,9042
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,36676,16018
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,18988,6314
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,12002,5504
ATHEROSCLEROSIS W/O MCC,303,10464,4575
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,22089,8635
BRONCHITIS & ASTHMA W CC/MCC,202,21294,7078
BRONCHITIS & ASTHMA W/O CC/MCC,203,10370,5644
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14199,6852
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,25048,10873
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10070,4860
CELLULITIS W MCC,602,25678,12342
CELLULITIS W/O MCC,603,14096,7049
CERVICAL SPINAL FUSION W/O CC/MCC,473,33451,18824
CHEST PAIN,313,12339,5147
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,14855,7564
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,17143,9180
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9723,6405
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,48956,20783
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,31172,11141
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,17533,8720
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,17364,7324
DIABETES W CC,638,16495,6576
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,18472,8759
DYSEQUILIBRIUM,149,15598,5138
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,20484,9743
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15157,6228
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,25845,8032
FRACTURES OF HIP & PELVIS W/O MCC,536,12518,5630
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,15096,6044
G.I. HEMORRHAGE W CC,378,21211,9027
G.I. HEMORRHAGE W MCC,377,37084,17250
G.I. HEMORRHAGE W/O CC/MCC,379,14906,6145
G.I. OBSTRUCTION W CC,389,16595,8739
G.I. OBSTRUCTION W/O CC/MCC,390,12202,4967
HEART FAILURE & SHOCK W CC,292,18874,9086
HEART FAILURE & SHOCK W MCC,291,32429,13082
HEART FAILURE & SHOCK W/O CC/MCC,293,11643,5750
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,41844,15240
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,62190,24594
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,31240,12610
HYPERTENSION W/O MCC,305,11664,4827
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,104700,51440
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,24326,9900
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,33944,17264
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,18236,7421
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,20488,9285
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13986,6419
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,31597,14009
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,22814,8772
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,64786,25801
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,21787,10275
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,52138,26621
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,35014,16109
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,56098,24680
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,114584,50608
MEDICAL BACK PROBLEMS W/O MCC,552,15606,6702
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,28723,10877
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11252,5465
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,17990,9081
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,41797,17866
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,18674,8703
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,16376,7844
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,26653,12748
OTHER VASCULAR PROCEDURES W CC,253,48928,19710
OTHER VASCULAR PROCEDURES W MCC,252,67603,34307
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,33524,12512
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,47095,24400
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,32621,15287
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,33087,15382
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,37926,15351
PERIPHERAL VASCULAR DISORDERS W CC,300,17237,7640
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,31529,19753
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,22536,15158
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,40170,14494
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,12787,5074
PULMONARY EDEMA & RESPIRATORY FAILURE,189,33472,12310
PULMONARY EMBOLISM W/O MCC,176,16861,8903
RED BLOOD CELL DISORDERS W MCC,811,21780,17023
RED BLOOD CELL DISORDERS W/O MCC,812,18431,7018
RENAL FAILURE W CC,683,19738,9060
RENAL FAILURE W MCC,682,35495,15697
RENAL FAILURE W/O CC/MCC,684,11613,5600
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,20620,12995
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,39195,17043
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,145203,62770
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,54792,19794
SEIZURES W/O MCC,101,17564,7363
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,120245,48090
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,41963,16932
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,22746,9876
SIGNS & SYMPTOMS W/O MCC,948,13255,5989
SIMPLE PNEUMONIA & PLEURISY W CC,194,16035,7931
SIMPLE PNEUMONIA & PLEURISY W MCC,193,26428,12260
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,11545,5684
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,58409,30414
SYNCOPE & COLLAPSE,312,11434,6256
TRANSIENT ISCHEMIA,069,16674,6469
