description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,24123,7811
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,36805,11999
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,19400,5370
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,21880,4638
ATHEROSCLEROSIS W/O MCC,303,13644,4063
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,26659,6584
BRONCHITIS & ASTHMA W CC/MCC,202,13748,5622
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13890,5661
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,27041,8431
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12204,3839
CELLULITIS W MCC,602,31046,9661
CELLULITIS W/O MCC,603,18315,5563
CHEST PAIN,313,14537,4699
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,19174,6409
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,21512,7808
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16539,4810
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,29233,7990
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,16888,5874
DIABETES W CC,638,17730,5531
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,19676,6744
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,24463,7733
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,17911,4820
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,51059,13234
FRACTURES OF HIP & PELVIS W/O MCC,536,16930,5447
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,14050,4529
G.I. HEMORRHAGE W CC,378,22242,7209
G.I. HEMORRHAGE W MCC,377,50921,16024
G.I. HEMORRHAGE W/O CC/MCC,379,13689,4778
G.I. OBSTRUCTION W CC,389,19964,6265
G.I. OBSTRUCTION W/O CC/MCC,390,12783,4278
HEART FAILURE & SHOCK W CC,292,20054,6813
HEART FAILURE & SHOCK W MCC,291,27662,9848
HEART FAILURE & SHOCK W/O CC/MCC,293,13423,5029
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,41985,13097
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,29853,8398
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,48355,12838
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,25125,5449
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,25267,8008
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16225,5104
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,42808,11334
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,30792,11017
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,82611,20436
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,47124,16035
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,54574,16929
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,108616,35038
MEDICAL BACK PROBLEMS W/O MCC,552,16529,5814
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,20295,7598
