description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16384,5176
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11178,3555
CELLULITIS W/O MCC,603,12967,5080
CHEST PAIN,313,11526,3369
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13944,6184
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,18142,7157
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14760,4547
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,22744,6477
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,23847,7431
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14386,4454
G.I. HEMORRHAGE W CC,378,21892,6292
G.I. OBSTRUCTION W CC,389,13093,5663
G.I. OBSTRUCTION W/O CC/MCC,390,15695,3902
HEART FAILURE & SHOCK W CC,292,18706,6412
HEART FAILURE & SHOCK W MCC,291,26242,8472
HEART FAILURE & SHOCK W/O CC/MCC,293,12123,4198
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,42105,11322
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,26250,7048
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13881,4717
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,27718,10405
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,42562,14316
MEDICAL BACK PROBLEMS W/O MCC,552,15670,5328
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,15606,6882
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11319,4150
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,19384,6084
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,15571,6420
PULMONARY EDEMA & RESPIRATORY FAILURE,189,23465,7627
RENAL FAILURE W CC,683,17567,7290
RENAL FAILURE W MCC,682,27377,9898
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,20675,8680
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,50702,16898
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,36366,13266
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,23722,7271
SIGNS & SYMPTOMS W/O MCC,948,13016,4392
SIMPLE PNEUMONIA & PLEURISY W CC,194,14512,6018
SIMPLE PNEUMONIA & PLEURISY W MCC,193,26392,8691
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,90236,23973
SYNCOPE & COLLAPSE,312,14857,4595
TRANSIENT ISCHEMIA,069,16720,4444
