description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,22568,10042
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,12020,4538
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,17679,6001
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,15391,4999
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,17012,7010
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8067,3403
CELLULITIS W/O MCC,603,10740,4692
CHEST PAIN,313,9835,3278
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17927,5331
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16142,6677
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10520,4274
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,8859,4135
G.I. HEMORRHAGE W CC,378,14140,5848
G.I. HEMORRHAGE W MCC,377,25802,9759
G.I. OBSTRUCTION W/O CC/MCC,390,7882,3796
HEART FAILURE & SHOCK W CC,292,15304,5735
HEART FAILURE & SHOCK W MCC,291,17976,8293
HEART FAILURE & SHOCK W/O CC/MCC,293,11239,4027
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,27853,11041
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,16068,6537
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,13994,4729
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,10463,4504
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,15414,7207
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,41198,18166
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,27619,12594
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,36898,14371
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,71882,31964
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8885,4052
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,51927,12534
PULMONARY EDEMA & RESPIRATORY FAILURE,189,18316,7635
PULMONARY EMBOLISM W/O MCC,176,18520,6281
RENAL FAILURE W CC,683,11300,6106
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,16368,7808
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,22979,11594
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,31669,11827
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,13324,6187
SIGNS & SYMPTOMS W/O MCC,948,10971,3880
SIMPLE PNEUMONIA & PLEURISY W CC,194,11884,5839
SIMPLE PNEUMONIA & PLEURISY W MCC,193,19359,7988
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9434,4304
SYNCOPE & COLLAPSE,312,12028,4251
