description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,32849,6821
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19928,4803
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,23575,7060
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,13902,3487
CELLULITIS W/O MCC,603,18960,5145
CHEST PAIN,313,15936,3030
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,30565,5572
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,35542,6752
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,22504,4132
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,27369,6686
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18614,4170
G.I. HEMORRHAGE W CC,378,26440,5925
G.I. OBSTRUCTION W CC,389,23135,5349
G.I. OBSTRUCTION W/O CC/MCC,390,11607,3481
HEART FAILURE & SHOCK W CC,292,23495,5813
HEART FAILURE & SHOCK W MCC,291,34366,8483
HEART FAILURE & SHOCK W/O CC/MCC,293,16154,3919
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,41849,10407
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,35874,9844
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,21845,4791
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,31437,6433
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16918,4348
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,40148,9723
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,30722,7119
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,46140,12584
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,51242,15388
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,15663,3742
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,50149,13077
PULMONARY EDEMA & RESPIRATORY FAILURE,189,39028,7348
PULMONARY EMBOLISM W/O MCC,176,26074,6102
RED BLOOD CELL DISORDERS W/O MCC,812,22082,4846
RENAL FAILURE W CC,683,34150,6410
RENAL FAILURE W MCC,682,33867,9068
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,30999,8461
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,43817,11797
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,51557,11372
SIGNS & SYMPTOMS W/O MCC,948,21210,3832
SIMPLE PNEUMONIA & PLEURISY W CC,194,26383,5748
SIMPLE PNEUMONIA & PLEURISY W MCC,193,38634,8667
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,18671,4043
SYNCOPE & COLLAPSE,312,19566,4063
TRANSIENT ISCHEMIA,069,24834,4060
