description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11077,5441
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,14122,7603
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,6898,3735
CELLULITIS W/O MCC,603,16703,5550
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,12606,6388
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15705,7696
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,21138,7110
DIABETES W CC,638,10060,5314
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,11975,4708
G.I. HEMORRHAGE W CC,378,15222,6721
HEART FAILURE & SHOCK W CC,292,15123,6704
HEART FAILURE & SHOCK W MCC,291,14177,8351
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,33286,12129
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,16762,7302
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,11961,4973
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,36013,13529
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,36519,16780
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8622,4504
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,45714,12806
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,38648,11520
PULMONARY EDEMA & RESPIRATORY FAILURE,189,20824,8267
RED BLOOD CELL DISORDERS W/O MCC,812,7966,5204
RENAL FAILURE W CC,683,14674,6593
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,13380,8564
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,26904,12622
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,23484,11108
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,16402,6790
SIMPLE PNEUMONIA & PLEURISY W CC,194,15062,6386
SIMPLE PNEUMONIA & PLEURISY W MCC,193,20744,9230
TRANSIENT ISCHEMIA,069,9902,4789
