description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,29216,8433
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,49411,13442
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,9426,4791
ATHEROSCLEROSIS W/O MCC,303,15158,4084
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,20611,7607
BRONCHITIS & ASTHMA W CC/MCC,202,13020,6178
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,18389,6299
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,26736,9502
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12133,4350
CELLULITIS W/O MCC,603,16569,6197
CERVICAL SPINAL FUSION W/O CC/MCC,473,49630,16501
CHEST PAIN,313,11779,4091
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17338,7212
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,25515,9166
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14306,5344
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,26555,8156
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,21478,8540
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,25685,6826
DIABETES W CC,638,17446,6098
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,30830,9549
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,24154,8562
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,17011,5375
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,29369,7517
G.I. HEMORRHAGE W CC,378,18654,7489
G.I. HEMORRHAGE W MCC,377,52069,12912
G.I. HEMORRHAGE W/O CC/MCC,379,12424,4984
G.I. OBSTRUCTION W CC,389,18777,6986
G.I. OBSTRUCTION W/O CC/MCC,390,14832,4780
HEART FAILURE & SHOCK W CC,292,19717,7573
HEART FAILURE & SHOCK W MCC,291,36087,13157
