city,avgCoveredCharges,averagePayments
BELTON,33319,6361
BLUE SPRINGS,28757,6760
BOLIVAR,18722,7947
BOONVILLE,6668,5290
BRANSON,27691,7854
BRIDGETON,32363,9107
BUTLER,24186,8129
CAMERON,16198,6387
CAPE GIRARDEAU,44196,9269
CHESTERFIELD,27146,8863
CLINTON,15544,6255
COLUMBIA,30972,9830
CREVE COEUR,19698,8044
CRYSTAL CITY,17906,7550
DEXTER,12570,5791
DONIPHAN,11088,7485
FARMINGTON,15642,5835
FENTON,29768,8015
FULTON,11775,6214
HANNIBAL,24029,9242
HAYTI,14107,5122
HOUSTON,10678,6158
INDEPENDENCE,56203,9243
JEFFERSON CITY,23186,7743
JOPLIN,34940,9146
KANSAS CITY,42086,9595
KENNETT,28063,5897
KIRKSVILLE,38661,9940
LAKE SAINT LOUI,26953,7320
LEBANON,16659,7799
LEES SUMMIT,38182,6802
LIBERTY,24519,7373
MARSHALL,14858,6672
MARYVILLE,16414,7933
MEXICO,14479,6777
MOBERLY,34899,7827
NEVADA,13426,6945
NORTH KANSAS CI,31299,8127
O FALLON,14054,6442
OSAGE BEACH,30087,9011
OSCEOLA,9695,5052
POPLAR BLUFF,50176,9221
RICHMOND HEIGHT,32278,11256
ROLLA,29505,10113
SAINT CHARLES,32040,8872
SAINT JOSEPH,27207,11020
SAINT LOUIS,36356,10006
SAINT PETERS,22676,8450
SEDALIA,15945,6086
SIKESTON,35381,9199
SPRINGFIELD,30631,9023
SULLIVAN,11931,6919
TOWN AND COUNTR,23872,8293
WARRENSBURG,21168,9235
WASHINGTON,27283,7007
WEST PLAINS,18524,7537
