description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,23243,7579
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,24254,11785
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,21490,6965
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,10689,4137
BRONCHITIS & ASTHMA W CC/MCC,202,14266,6162
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11456,5857
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9606,3787
CELLULITIS W MCC,602,19680,9123
CELLULITIS W/O MCC,603,13257,5489
CHEST PAIN,313,12897,3627
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13534,6265
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15248,7844
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11708,4792
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,32925,7172
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,25790,7663
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16808,4761
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,29222,6708
FRACTURES OF HIP & PELVIS W/O MCC,536,10190,4627
G.I. HEMORRHAGE W CC,378,10883,6699
G.I. OBSTRUCTION W CC,389,17323,6092
HEART FAILURE & SHOCK W CC,292,12725,6728
HEART FAILURE & SHOCK W MCC,291,17007,9850
HEART FAILURE & SHOCK W/O CC/MCC,293,8478,4537
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,42145,12112
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,33171,9976
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,80226,35360
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,14202,7554
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,25382,14284
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,11548,5222
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,16495,7980
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,12209,5208
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,48233,13194
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,48942,16931
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,76551,34582
MEDICAL BACK PROBLEMS W/O MCC,552,15583,5476
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,23711,7846
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11155,4507
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,58812,13026
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,44816,11612
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,26725,13406
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,7941,4053
PULMONARY EDEMA & RESPIRATORY FAILURE,189,21131,8336
RED BLOOD CELL DISORDERS W MCC,811,17606,8283
RED BLOOD CELL DISORDERS W/O MCC,812,14481,5215
RENAL FAILURE W CC,683,17590,6726
RENAL FAILURE W MCC,682,25218,10212
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,21443,9675
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,28324,13554
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,96318,34230
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,31630,12527
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,20894,7760
SIGNS & SYMPTOMS W/O MCC,948,10254,4490
SIMPLE PNEUMONIA & PLEURISY W CC,194,15370,6680
SIMPLE PNEUMONIA & PLEURISY W MCC,193,21457,9806
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,11954,4721
SYNCOPE & COLLAPSE,312,11427,4766
