description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11152,5488
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,7868,3735
CELLULITIS W/O MCC,603,7700,5362
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,10348,6188
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,14876,7699
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7963,4719
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,8579,4834
G.I. HEMORRHAGE W CC,378,8845,6186
HEART FAILURE & SHOCK W CC,292,11592,6734
HEART FAILURE & SHOCK W/O CC/MCC,293,7249,4475
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,14980,7377
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,8355,4800
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,5895,4395
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,19294,12032
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,14383,8122
SIGNS & SYMPTOMS W/O MCC,948,7331,4383
SIMPLE PNEUMONIA & PLEURISY W CC,194,12003,6445
SIMPLE PNEUMONIA & PLEURISY W MCC,193,17069,9401
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,7399,4625
