description,code,avgCoveredCharges,averagePayments
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,10284,6542
BRONCHITIS & ASTHMA W CC/MCC,202,12023,8481
BRONCHITIS & ASTHMA W/O CC/MCC,203,7481,6127
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11269,8445
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,29730,14120
CELLULITIS W/O MCC,603,11318,8168
CHEST PAIN,313,8188,5539
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,14254,9802
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20055,12591
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9366,7244
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,13199,10955
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,10495,8664
DIABETES W CC,638,12756,8452
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,13380,11634
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10295,7274
G.I. HEMORRHAGE W CC,378,12375,10349
G.I. HEMORRHAGE W/O CC/MCC,379,11011,7191
HEART FAILURE & SHOCK W CC,292,14132,10338
HEART FAILURE & SHOCK W MCC,291,38746,18714
HEART FAILURE & SHOCK W/O CC/MCC,293,8221,6900
HYPERTENSION W/O MCC,305,8842,6178
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,28047,11977
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,12648,7913
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,30449,21162
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,12059,11502
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9747,6964
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,20155,17449
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,32076,17845
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,8700,6301
PSYCHOSES,885,7480,8928
PULMONARY EDEMA & RESPIRATORY FAILURE,189,22126,12895
RED BLOOD CELL DISORDERS W/O MCC,812,11800,8219
RENAL FAILURE W CC,683,15812,10226
RENAL FAILURE W MCC,682,20373,15175
RENAL FAILURE W/O CC/MCC,684,10509,6630
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,36053,23919
SEIZURES W/O MCC,101,10616,7672
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,26399,19438
SIGNS & SYMPTOMS W/O MCC,948,13300,6833
SIMPLE PNEUMONIA & PLEURISY W CC,194,15872,10278
SIMPLE PNEUMONIA & PLEURISY W MCC,193,28057,14896
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,8717,7124
SYNCOPE & COLLAPSE,312,10916,7826
TRANSIENT ISCHEMIA,069,11922,7361
