description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,32695,6089
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,44224,9413
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,32157,5322
BRONCHITIS & ASTHMA W/O CC/MCC,203,21137,3311
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,26530,4545
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,33335,7011
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15885,3254
CELLULITIS W/O MCC,603,27057,5475
CHEST PAIN,313,19221,3050
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,28184,5210
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,36236,6426
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,23475,3990
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,36761,6660
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,28379,4715
DIABETES W CC,638,27419,4652
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,41781,6352
DYSEQUILIBRIUM,149,19098,3475
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,29284,6263
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,23945,4179
G.I. HEMORRHAGE W CC,378,35438,5700
G.I. HEMORRHAGE W MCC,377,67672,10249
G.I. HEMORRHAGE W/O CC/MCC,379,22558,3812
G.I. OBSTRUCTION W CC,389,26029,5293
G.I. OBSTRUCTION W/O CC/MCC,390,22661,3801
HEART FAILURE & SHOCK W CC,292,31122,5786
HEART FAILURE & SHOCK W MCC,291,38376,7857
HEART FAILURE & SHOCK W/O CC/MCC,293,20938,3875
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,57716,10344
HYPERTENSION W/O MCC,305,18527,3323
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,36473,7293
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,29917,4318
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,36467,7282
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,23479,4240
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,47024,6361
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,33922,6609
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,51025,11958
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,72718,15982
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,144450,30440
MEDICAL BACK PROBLEMS W/O MCC,552,21796,4136
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,39657,6011
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,20031,4104
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,69570,15600
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,27702,5411
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,21507,5383
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,72364,10807
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,67034,10071
PERIPHERAL VASCULAR DISORDERS W CC,300,30255,5119
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,31788,3365
PULMONARY EDEMA & RESPIRATORY FAILURE,189,39832,6977
PULMONARY EMBOLISM W/O MCC,176,29881,6509
RED BLOOD CELL DISORDERS W/O MCC,812,24081,5655
RENAL FAILURE W CC,683,32686,5627
RENAL FAILURE W MCC,682,42433,9521
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,44097,7954
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,62386,12720
SEIZURES W/O MCC,101,23272,4037
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,71646,12373
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,44888,6213
SIGNS & SYMPTOMS W/O MCC,948,21795,4061
SIMPLE PNEUMONIA & PLEURISY W CC,194,31427,5611
SIMPLE PNEUMONIA & PLEURISY W MCC,193,54222,8089
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,27326,4001
SYNCOPE & COLLAPSE,312,22801,4441
TRANSIENT ISCHEMIA,069,24514,3900
