description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,10116,5085
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,12879,6831
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12272,3994
G.I. HEMORRHAGE W CC,378,9353,5265
HEART FAILURE & SHOCK W CC,292,11560,5214
HEART FAILURE & SHOCK W MCC,291,19840,7776
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,17417,7661
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9570,4043
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,25637,11724
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,8153,5973
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,7601,3436
PULMONARY EDEMA & RESPIRATORY FAILURE,189,17511,6711
RENAL FAILURE W CC,683,9218,5505
RENAL FAILURE W MCC,682,20855,10676
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,18923,10355
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,13887,5805
SIMPLE PNEUMONIA & PLEURISY W CC,194,12153,5066
SIMPLE PNEUMONIA & PLEURISY W MCC,193,18276,7579
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,11805,3696
