description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,30847,10597
BRONCHITIS & ASTHMA W CC/MCC,202,15705,5582
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,21629,5472
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14794,3777
CELLULITIS W/O MCC,603,16630,5601
CHEST PAIN,313,14973,3644
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,27910,6311
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,26316,7786
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,20058,4756
DIABETES W CC,638,16339,5471
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20697,4952
G.I. HEMORRHAGE W CC,378,28618,6677
G.I. HEMORRHAGE W/O CC/MCC,379,18680,4735
HEART FAILURE & SHOCK W CC,292,26719,6772
HEART FAILURE & SHOCK W MCC,291,36212,9941
HEART FAILURE & SHOCK W/O CC/MCC,293,12982,4439
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,19368,7080
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,32172,7975
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21442,5123
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,70943,16684
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,170225,45872
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,29432,7635
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,19183,4693
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,36665,12848
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,15686,4129
PULMONARY EDEMA & RESPIRATORY FAILURE,189,34415,8548
RED BLOOD CELL DISORDERS W MCC,811,24676,8182
RED BLOOD CELL DISORDERS W/O MCC,812,19535,5273
RENAL FAILURE W CC,683,27983,6732
RENAL FAILURE W MCC,682,27296,10563
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,37474,9347
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,72605,17874
SEIZURES W/O MCC,101,19254,4911
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,56477,12872
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,33590,7373
SIMPLE PNEUMONIA & PLEURISY W CC,194,28462,6758
SIMPLE PNEUMONIA & PLEURISY W MCC,193,40731,9996
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,19473,4699
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,205692,45895
SYNCOPE & COLLAPSE,312,21902,4753
TRANSIENT ISCHEMIA,069,16825,4845
