description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,14796,6833
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,21087,10343
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,8484,3992
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,10759,5171
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,19274,7505
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10668,3534
CELLULITIS W/O MCC,603,11912,5139
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13170,5909
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,18158,7163
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11619,4476
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22645,6640
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,16777,7131
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12166,4447
FRACTURES OF HIP & PELVIS W/O MCC,536,10396,4462
G.I. HEMORRHAGE W CC,378,13032,6259
G.I. HEMORRHAGE W MCC,377,17413,10255
HEART FAILURE & SHOCK W CC,292,12169,6302
HEART FAILURE & SHOCK W MCC,291,19102,9133
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,29530,11210
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,26769,9430
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,16394,6846
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,24458,10542
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,15080,5073
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,16763,7139
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,10254,4666
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,35657,12834
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,40765,15846
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9235,4223
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,48412,12071
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,17045,8890
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10311,3866
PSYCHOSES,885,9109,5639
PULMONARY EDEMA & RESPIRATORY FAILURE,189,14832,7794
PULMONARY EMBOLISM W/O MCC,176,19919,6543
RED BLOOD CELL DISORDERS W/O MCC,812,11789,4912
RENAL FAILURE W CC,683,11816,6214
RENAL FAILURE W MCC,682,21637,9388
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,35202,12352
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,41844,14330
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,21260,10885
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,15868,7077
SIMPLE PNEUMONIA & PLEURISY W CC,194,18301,6192
SIMPLE PNEUMONIA & PLEURISY W MCC,193,19173,8680
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10016,4283
