description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,20596,6800
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,26576,10764
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,8198,3897
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14461,5019
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,23572,7909
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8588,3416
CELLULITIS W MCC,602,16592,8582
CELLULITIS W/O MCC,603,14646,5106
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,19189,5868
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20730,7044
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11401,4315
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,36937,12059
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,23668,6647
DIABETES W CC,638,11902,4970
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,25933,7002
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14679,4310
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,26736,6095
G.I. HEMORRHAGE W CC,378,17468,6114
G.I. HEMORRHAGE W MCC,377,23961,10387
G.I. OBSTRUCTION W CC,389,14571,5592
HEART FAILURE & SHOCK W CC,292,15697,6130
HEART FAILURE & SHOCK W MCC,291,21642,8741
HEART FAILURE & SHOCK W/O CC/MCC,293,13414,4102
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,30466,11280
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,63562,23073
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,61184,28606
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,23871,6852
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,26713,11000
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,17699,4793
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,19048,6804
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14754,4668
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,30311,12801
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,39018,15269
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,76019,31137
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,17118,6773
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11128,4010
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,31454,10661
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,35308,9041
OTHER VASCULAR PROCEDURES W CC,253,62067,16997
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,49291,11782
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,50758,10609
PERIPHERAL VASCULAR DISORDERS W CC,300,11129,4901
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,53262,15529
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,24374,8591
PULMONARY EDEMA & RESPIRATORY FAILURE,189,28093,8143
PULMONARY EMBOLISM W/O MCC,176,17483,6378
RED BLOOD CELL DISORDERS W MCC,811,25578,7508
RED BLOOD CELL DISORDERS W/O MCC,812,16770,5529
RENAL FAILURE W CC,683,16056,6128
RENAL FAILURE W MCC,682,23604,9806
RENAL FAILURE W/O CC/MCC,684,11285,3941
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,34234,11626
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,82612,28836
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,44512,14720
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,34083,11433
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,17464,6694
SIMPLE PNEUMONIA & PLEURISY W CC,194,21000,6041
SIMPLE PNEUMONIA & PLEURISY W MCC,193,29669,8778
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,15373,4247
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,67425,25365
SYNCOPE & COLLAPSE,312,20818,4509
TRANSIENT ISCHEMIA,069,17060,4375
