city,avgCoveredCharges,averagePayments
AMORY,9762,4470
BRANDON,20458,4613
CLARKSDALE,23257,5972
COLUMBUS,11902,4970
CORINTH,22229,4744
GREENVILLE,22053,5406
GREENWOOD,14483,5410
GRENADA,10309,4527
GULFPORT,29833,5146
HATTIESBURG,16376,5847
JACKSON,18230,4894
LAUREL,10167,4615
MCCOMB,8407,5170
MERIDIAN,11406,4682
NATCHEZ,24144,4704
NEW ALBANY,12704,5025
OXFORD,18182,4933
PASCAGOULA,23121,4570
RIPLEY,5795,5180
SENATOBIA,14317,5698
SOUTHAVEN,15919,5278
TUPELO,13963,4906
VICKSBURG,26570,5280
WAYNESBORO,5212,4822
WEST POINT,9655,4930
