city,avgCoveredCharges,averagePayments
AMORY,19115,5122
BATESVILLE,14277,5381
BAY SAINT LOUIS,19291,6308
BILOXI,44484,6771
BOONEVILLE,15643,6145
BRANDON,44393,6153
BROOKHAVEN,15227,6765
CANTON,20410,5451
CLARKSDALE,29551,7722
CLEVELAND,22758,5966
COLUMBIA,8971,4858
COLUMBUS,26864,9365
CORINTH,33923,7413
EUPORA,16055,5471
FAYETTE,8143,5016
GREENVILLE,21781,8055
GREENWOOD,25276,8702
GRENADA,16245,6099
GULFPORT,53484,8785
HATTIESBURG,29074,8951
HOLLY SPRINGS,12924,6556
HOUSTON,12881,6649
INDIANOLA,9846,7040
IUKA,14433,6279
JACKSON,31826,8999
KILMICHAEL,4486,6118
KOSCIUSKO,9681,4933
LAUREL,17428,6762
LOUISVILLE,12823,5800
LUCEDALE,9362,6013
MAGEE,10912,5048
MAGNOLIA,9417,5169
MCCOMB,15906,7456
MERIDIAN,25213,7482
NATCHEZ,38482,5388
NEW ALBANY,17099,6127
OXFORD,27978,9847
PASCAGOULA,45428,8781
PHILADELPHIA,10132,5506
PICAYUNE,16061,5946
RIPLEY,8403,7534
ROLLING FORK,3523,5660
SENATOBIA,15346,5910
SOUTHAVEN,29440,9145
STARKVILLE,18682,6577
TUPELO,23808,9089
VICKSBURG,41682,7567
WATER VALLEY,4408,5134
WAYNESBORO,7788,5016
WEST POINT,10008,5439
WHITFIELD,12908,5426
