description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,5833,3363
CELLULITIS W/O MCC,603,7785,4747
CHEST PAIN,313,7076,3240
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,10832,5736
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,12538,6927
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9121,4166
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,6826,4315
G.I. OBSTRUCTION W CC,389,8135,5389
HEART FAILURE & SHOCK W CC,292,13474,5931
HEART FAILURE & SHOCK W MCC,291,14625,8267
HEART FAILURE & SHOCK W/O CC/MCC,293,7544,3995
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,12887,6788
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,7492,4513
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8560,4074
RED BLOOD CELL DISORDERS W/O MCC,812,8874,4566
SIGNS & SYMPTOMS W/O MCC,948,7200,4012
SIMPLE PNEUMONIA & PLEURISY W CC,194,13142,5883
SIMPLE PNEUMONIA & PLEURISY W MCC,193,17802,8273
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10100,4147
SYNCOPE & COLLAPSE,312,9914,4186
TRANSIENT ISCHEMIA,069,8478,4308
