description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,23046,10193
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16234,5016
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10290,3517
CELLULITIS W/O MCC,603,13340,5119
CHEST PAIN,313,12063,3460
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,14712,5981
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,17796,7033
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,13316,4453
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,11559,4419
G.I. HEMORRHAGE W CC,378,13926,6240
HEART FAILURE & SHOCK W CC,292,13150,6144
HEART FAILURE & SHOCK W MCC,291,18957,9121
HEART FAILURE & SHOCK W/O CC/MCC,293,12758,4220
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13899,4850
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,54133,15905
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,10630,4234
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,30652,12190
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,25674,11205
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,21162,7059
SIGNS & SYMPTOMS W/O MCC,948,9003,4240
SIMPLE PNEUMONIA & PLEURISY W CC,194,18526,6282
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13804,4390
