description,code,avgCoveredCharges,averagePayments
BRONCHITIS & ASTHMA W CC/MCC,202,10157,4891
BRONCHITIS & ASTHMA W/O CC/MCC,203,7842,3530
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,4289,3290
CELLULITIS W/O MCC,603,9382,4865
CHEST PAIN,313,6233,3192
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,11409,5652
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,12908,6974
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,5409,4291
DIABETES W CC,638,5212,4822
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,5412,4164
G.I. HEMORRHAGE W CC,378,8888,5908
G.I. HEMORRHAGE W/O CC/MCC,379,11287,4149
G.I. OBSTRUCTION W/O CC/MCC,390,5156,3697
HEART FAILURE & SHOCK W CC,292,8746,5943
HEART FAILURE & SHOCK W/O CC/MCC,293,6818,3941
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,12598,7061
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,5601,4565
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,5427,4022
RED BLOOD CELL DISORDERS W/O MCC,812,5237,4619
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,15048,11740
SEIZURES W/O MCC,101,5222,4423
SIGNS & SYMPTOMS W/O MCC,948,5903,3899
SIMPLE PNEUMONIA & PLEURISY W CC,194,9678,5887
SIMPLE PNEUMONIA & PLEURISY W MCC,193,10453,8389
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,8417,4120
SYNCOPE & COLLAPSE,312,5212,4164
