description,code,avgCoveredCharges,averagePayments
BRONCHITIS & ASTHMA W CC/MCC,202,7927,5000
CELLULITIS W/O MCC,603,9501,4972
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,9688,5570
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15917,6553
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7968,5009
DIABETES W CC,638,9655,4930
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,9680,4223
HEART FAILURE & SHOCK W CC,292,10461,6179
HEART FAILURE & SHOCK W MCC,291,15702,9013
HEART FAILURE & SHOCK W/O CC/MCC,293,8168,4067
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9179,4624
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,12447,6766
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,6412,4105
RED BLOOD CELL DISORDERS W/O MCC,812,8656,4723
RENAL FAILURE W CC,683,10492,5803
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,17196,11321
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,12941,6852
SIMPLE PNEUMONIA & PLEURISY W CC,194,11594,6025
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,8339,4212
