description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,16280,8566
CHEST PAIN,313,11833,4257
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15491,6992
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,17095,8648
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,15797,5414
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,14010,7246
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,11531,5152
G.I. HEMORRHAGE W CC,378,13993,7379
G.I. HEMORRHAGE W MCC,377,40653,15773
HEART FAILURE & SHOCK W CC,292,17995,7332
HEART FAILURE & SHOCK W MCC,291,22522,10472
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,36805,13319
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,41131,21047
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,20557,8379
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,12176,6467
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14639,5605
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,59933,24278
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,47691,15760
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,35176,19621
MEDICAL BACK PROBLEMS W/O MCC,552,15507,5949
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12237,4967
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,62822,19012
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10629,4491
PULMONARY EDEMA & RESPIRATORY FAILURE,189,22057,9199
RENAL FAILURE W CC,683,16230,7524
RENAL FAILURE W MCC,682,22260,11674
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,26621,10552
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,33748,14450
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,16801,8061
SIGNS & SYMPTOMS W/O MCC,948,15546,4930
SIMPLE PNEUMONIA & PLEURISY W CC,194,17847,7266
SIMPLE PNEUMONIA & PLEURISY W MCC,193,28115,10997
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,12000,5081
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,105294,34730
