description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,19676,8136
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,32179,11605
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,15533,6933
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,12348,5467
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,25537,7967
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9001,3880
CELLULITIS W/O MCC,603,15826,5489
CERVICAL SPINAL FUSION W/O CC/MCC,473,32115,13446
CHEST PAIN,313,10768,3714
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13965,6364
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15812,7714
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,10196,4711
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22307,7480
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,10429,5612
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,17316,5860
DIABETES W CC,638,9284,5287
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,14282,7514
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,9432,4804
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,20516,6619
FRACTURES OF HIP & PELVIS W/O MCC,536,7798,4657
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,11389,4912
G.I. HEMORRHAGE W CC,378,15784,6665
G.I. HEMORRHAGE W MCC,377,44558,14049
G.I. HEMORRHAGE W/O CC/MCC,379,10398,4662
G.I. OBSTRUCTION W CC,389,15102,5937
HEART FAILURE & SHOCK W CC,292,16181,6729
HEART FAILURE & SHOCK W MCC,291,21990,9636
HEART FAILURE & SHOCK W/O CC/MCC,293,13490,4470
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,32840,12398
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,61754,22388
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,24759,9971
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,91945,40562
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,17442,7665
