description,code,avgCoveredCharges,averagePayments
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,30454,5509
CERVICAL SPINAL FUSION W/O CC/MCC,473,47679,13024
FRACTURES OF HIP & PELVIS W/O MCC,536,7200,3696
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,38866,9756
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,47780,14991
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,30676,9204
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,80276,17594
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,69034,12532
MEDICAL BACK PROBLEMS W/O MCC,552,9768,4479
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,86485,21652
