city,avgCoveredCharges,averagePayments
AHOSKIE,22039,11489
ALBEMARLE,26605,11373
ASHEBORO,22768,11134
ASHEVILLE,26915,12533
BOONE,24869,13703
BURLINGTON,18898,11394
CARY,39613,11139
CHAPEL HILL,41728,22548
CHARLOTTE,38712,13090
CLINTON,24305,11823
CLYDE,17330,11012
CONCORD,25889,12290
DUNN,25908,12814
DURHAM,35305,15094
EDEN,19861,10963
ELIZABETH CITY,27048,13150
ELKIN,30135,10343
FAYETTEVILLE,57312,14091
GASTONIA,28305,12090
GOLDSBORO,17571,12785
GREENSBORO,23917,13064
GREENVILLE,43172,17333
HAMLET,44838,11080
HENDERSON,26806,12261
HENDERSONVILLE,20349,10827
HICKORY,40100,10928
HIGH POINT,32930,11551
HUNTERSVILLE,26076,10640
JACKSONVILLE,35461,12351
KENANSVILLE,18757,12278
KINGS MOUNTAIN,19174,10723
KINSTON,24455,11748
LAURINBURG,31559,11505
LENOIR,29423,10661
LEXINGTON,19939,10661
LINCOLNTON,36483,11213
LOUISBURG,32994,13380
LUMBERTON,37719,13959
MARION,22467,12205
MATTHEWS,34977,10568
MONROE,20524,12312
MOORESVILLE,45290,11167
MOREHEAD CITY,21820,12902
MORGANTON,32539,10977
MOUNT AIRY,19947,11283
MURPHY,20321,10628
NEW BERN,26583,13327
NORTH WILKESBOR,17498,10001
OXFORD,23127,11376
PINEHURST,27932,11569
RALEIGH,38335,11822
ROANOKE RAPIDS,27766,11608
ROCKY MOUNT,27917,13236
ROXBORO,30642,13169
RUTHERFORDTON,25421,11131
SALISBURY,34037,12031
SANFORD,52424,10840
SHELBY,26658,11434
SMITHFIELD,46953,13780
SPRUCE PINE,14789,10700
STATESVILLE,38693,11646
SUPPLY,28625,11730
SYLVA,29350,10885
TARBORO,36023,11772
THOMASVILLE,23723,11762
VALDESE,40154,11515
WADESBORO,25171,12144
WASHINGTON,10851,10956
WHITEVILLE,26308,12981
WILLIAMSTON,32388,11041
WILMINGTON,28459,12906
WILSON,35798,11993
WINSTON-SALEM,35139,16165
