city,avgCoveredCharges,averagePayments
AHOSKIE,18178,7614
ALBEMARLE,20946,9067
ASHEBORO,17918,8393
ASHEVILLE,24997,9904
BOONE,18096,8983
BURLINGTON,15487,8205
CARY,29433,7247
CHAPEL HILL,25949,15301
CHARLOTTE,34041,10532
CHEROKEE,6869,6270
CLINTON,17508,8236
CLYDE,19209,7078
CONCORD,22394,8938
DUNN,17606,7526
DURHAM,35305,12899
EDEN,13671,6417
ELIZABETH CITY,22503,9030
ELKIN,20899,6982
FAYETTEVILLE,38127,10222
GASTONIA,23130,8935
GOLDSBORO,16412,9242
GREENSBORO,18872,9203
GREENVILLE,34649,12853
HAMLET,26060,6123
HENDERSON,15924,7441
HENDERSONVILLE,18476,7509
HICKORY,39397,8992
HIGH POINT,23353,8414
HUNTERSVILLE,25365,8170
JACKSONVILLE,23154,7519
KENANSVILLE,11786,6146
KINGS MOUNTAIN,15073,7001
KINSTON,17912,7809
LAURINBURG,21626,7770
LENOIR,22641,8427
LEXINGTON,14960,6884
LINCOLNTON,27141,7680
LOUISBURG,19977,6840
LUMBERTON,25823,9076
MARION,12505,7310
MATTHEWS,22173,6871
MONROE,16247,8761
MOORESVILLE,32028,7226
MOREHEAD CITY,15698,7918
MORGANTON,24269,7778
MOUNT AIRY,14659,7346
MURPHY,16594,7926
NEW BERN,22273,10257
NORTH WILKESBOR,15228,6694
OXFORD,17511,7993
PINEHURST,22709,8304
RALEIGH,34880,9451
ROANOKE RAPIDS,16408,6916
ROCKY MOUNT,20121,9262
ROXBORO,14930,7428
RUTHERFORDTON,16585,6981
SALISBURY,23988,8190
SANFORD,28197,6209
SHELBY,22673,7864
SMITHFIELD,29769,8310
SPRUCE PINE,9761,6320
STATESVILLE,30397,7761
SUPPLY,23340,7457
SYLVA,21591,8116
TARBORO,20365,6327
THOMASVILLE,16949,7664
VALDESE,31492,7929
WADESBORO,19796,8362
WASHINGTON,11107,7150
WHITEVILLE,16771,7652
WILLIAMSTON,26994,5920
WILMINGTON,25284,10218
WILSON,27195,8231
WINSTON-SALEM,24959,11892
