description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,36530,8338
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,59171,13679
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,33370,5673
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,20246,4725
ATHEROSCLEROSIS W/O MCC,303,19102,4146
BRONCHITIS & ASTHMA W CC/MCC,202,21009,5942
BRONCHITIS & ASTHMA W/O CC/MCC,203,17691,4313
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,24752,6082
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,38297,9219
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,18437,4140
CELLULITIS W MCC,602,36171,10281
CELLULITIS W/O MCC,603,24878,6035
CHEST PAIN,313,18810,4000
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,26870,6873
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,33047,8663
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,20232,5141
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,60251,14835
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,37600,7735
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,26226,6830
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,21397,6673
DIABETES W CC,638,24414,5937
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,22426,7142
DYSEQUILIBRIUM,149,20001,4598
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,32202,8516
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20272,5092
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,24250,7045
FRACTURES OF HIP & PELVIS W/O MCC,536,18894,5148
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,19318,5131
G.I. HEMORRHAGE W CC,378,21995,7494
G.I. HEMORRHAGE W MCC,377,45355,13024
G.I. HEMORRHAGE W/O CC/MCC,379,15586,5493
G.I. OBSTRUCTION W CC,389,21231,6592
G.I. OBSTRUCTION W/O CC/MCC,390,16834,4595
HEART FAILURE & SHOCK W CC,292,23845,7363
HEART FAILURE & SHOCK W MCC,291,38953,10837
HEART FAILURE & SHOCK W/O CC/MCC,293,16213,4872
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,44549,13038
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,78669,21556
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,34872,10689
HYPERTENSION W/O MCC,305,19415,4414
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,105856,36037
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,31861,8200
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,55642,14012
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,22398,5981
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,33432,8870
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,19470,5573
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,40310,12005
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,25851,8184
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,71659,22266
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,22979,10182
