description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,21854,7702
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,26155,12652
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,16287,5477
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,8576,4019
BRONCHITIS & ASTHMA W CC/MCC,202,13693,5317
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16025,5058
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,27290,7783
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10848,3485
CELLULITIS W MCC,602,27360,8692
CELLULITIS W/O MCC,603,12568,5099
CHEST PAIN,313,12582,3312
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,14598,5961
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,17378,7265
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12333,4588
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,17612,6434
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,16284,5137
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,13124,5626
DIABETES W CC,638,13952,5230
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,15194,6060
DYSEQUILIBRIUM,149,13742,3786
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,24904,7187
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13377,4337
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,14827,5899
FRACTURES OF HIP & PELVIS W/O MCC,536,9091,4023
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,14398,4450
G.I. HEMORRHAGE W CC,378,18936,6022
G.I. HEMORRHAGE W MCC,377,34629,11345
G.I. HEMORRHAGE W/O CC/MCC,379,14412,4252
G.I. OBSTRUCTION W CC,389,16408,5756
HEART FAILURE & SHOCK W CC,292,19644,6266
HEART FAILURE & SHOCK W MCC,291,24675,8818
HEART FAILURE & SHOCK W/O CC/MCC,293,13613,4044
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,33470,10876
