description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,25413,9558
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16148,4614
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8681,3168
CELLULITIS W/O MCC,603,14091,4841
CHEST PAIN,313,12472,3079
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15669,5484
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,19944,6608
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12596,4073
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13862,4069
G.I. HEMORRHAGE W CC,378,17307,5927
G.I. OBSTRUCTION W CC,389,16521,5299
G.I. OBSTRUCTION W/O CC/MCC,390,11153,4145
HEART FAILURE & SHOCK W CC,292,13298,5670
HEART FAILURE & SHOCK W MCC,291,22727,8151
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,34392,10251
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,46695,15939
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,14866,6287
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,13475,4622
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,17952,6701
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13395,4445
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,20720,9387
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,66233,17716
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,51372,12934
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,42213,16272
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,10267,3889
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,13844,5580
PULMONARY EDEMA & RESPIRATORY FAILURE,189,28692,8034
PULMONARY EMBOLISM W/O MCC,176,11902,6025
RED BLOOD CELL DISORDERS W/O MCC,812,10985,4486
RENAL FAILURE W CC,683,14397,5554
RENAL FAILURE W MCC,682,23355,8971
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,24404,10688
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,26076,10640
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,17529,6507
SIMPLE PNEUMONIA & PLEURISY W CC,194,14964,5739
SIMPLE PNEUMONIA & PLEURISY W MCC,193,23568,8870
SYNCOPE & COLLAPSE,312,13246,3981
TRANSIENT ISCHEMIA,069,14523,4103
