description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,23682,6769
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,29065,10569
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,11590,4813
ATHEROSCLEROSIS W/O MCC,303,10165,3693
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,12197,5082
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,17504,7563
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9250,3561
CELLULITIS W/O MCC,603,14431,5250
CHEST PAIN,313,11275,3524
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16979,6165
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20982,7537
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11637,4724
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22149,6590
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,13815,5921
DIABETES W CC,638,13740,5203
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,18317,6238
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,20215,7268
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13212,4566
G.I. HEMORRHAGE W CC,378,25622,6606
G.I. HEMORRHAGE W MCC,377,25450,10497
G.I. HEMORRHAGE W/O CC/MCC,379,10210,4495
G.I. OBSTRUCTION W CC,389,18184,5918
G.I. OBSTRUCTION W/O CC/MCC,390,14754,4076
HEART FAILURE & SHOCK W CC,292,15202,6589
HEART FAILURE & SHOCK W MCC,291,21702,8958
HEART FAILURE & SHOCK W/O CC/MCC,293,12590,4460
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,33567,11506
HYPERTENSION W/O MCC,305,11451,3854
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,87059,34161
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,23558,7146
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,30834,11008
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,17294,7265
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13268,5010
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,66140,21801
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,40881,13401
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,75787,29417
MEDICAL BACK PROBLEMS W/O MCC,552,16412,5382
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,19474,7196
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13950,4397
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,26184,10630
PERIPHERAL VASCULAR DISORDERS W CC,300,14650,6154
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10583,3932
PULMONARY EDEMA & RESPIRATORY FAILURE,189,22031,8612
PULMONARY EMBOLISM W/O MCC,176,22450,7985
RED BLOOD CELL DISORDERS W MCC,811,18919,7762
RED BLOOD CELL DISORDERS W/O MCC,812,17551,5108
RENAL FAILURE W CC,683,16737,6428
RENAL FAILURE W MCC,682,25859,9996
RENAL FAILURE W/O CC/MCC,684,11420,4094
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,23478,9006
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,31433,11858
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,50998,15344
SEIZURES W/O MCC,101,16524,4882
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,31559,11505
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,16935,6800
SIGNS & SYMPTOMS W/O MCC,948,12290,4301
SIMPLE PNEUMONIA & PLEURISY W CC,194,19918,6479
SIMPLE PNEUMONIA & PLEURISY W MCC,193,30264,9482
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,14014,4521
SYNCOPE & COLLAPSE,312,13525,4506
TRANSIENT ISCHEMIA,069,16895,4632
