description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,11158,6126
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,9784,4818
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8361,3466
CELLULITIS W/O MCC,603,9231,5112
CHEST PAIN,313,9840,3647
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,10659,5633
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,11432,6861
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9440,4390
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,9041,4437
HEART FAILURE & SHOCK W CC,292,12777,5905
HEART FAILURE & SHOCK W MCC,291,17050,8587
HEART FAILURE & SHOCK W/O CC/MCC,293,8820,4087
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,13932,6504
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,8896,4643
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,32640,12535
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9055,4145
PULMONARY EDEMA & RESPIRATORY FAILURE,189,17787,7407
RENAL FAILURE W CC,683,11870,6122
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,17839,7148
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,20135,10851
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,19939,10661
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,10710,6158
SIGNS & SYMPTOMS W/O MCC,948,11728,4172
SIMPLE PNEUMONIA & PLEURISY W CC,194,14859,5905
SIMPLE PNEUMONIA & PLEURISY W MCC,193,16825,7828
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9676,4322
