description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,30877,8957
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16558,5007
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,26699,7419
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14367,3435
CELLULITIS W/O MCC,603,22197,5082
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,20029,5781
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,27948,7738
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18877,5040
DIABETES W CC,638,20506,5464
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,29663,7691
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19676,4446
G.I. HEMORRHAGE W CC,378,20714,6004
HEART FAILURE & SHOCK W CC,292,19298,6048
HEART FAILURE & SHOCK W MCC,291,36063,9386
HEART FAILURE & SHOCK W/O CC/MCC,293,15144,4071
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,49035,10906
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,63312,18320
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,22430,6870
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,36870,10635
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,25428,7082
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,17140,4796
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,24038,7573
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,52411,13759
MEDICAL BACK PROBLEMS W/O MCC,552,17009,5546
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,19379,4225
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,26019,8840
PULMONARY EDEMA & RESPIRATORY FAILURE,189,27098,8168
PULMONARY EMBOLISM W/O MCC,176,23041,6788
RED BLOOD CELL DISORDERS W/O MCC,812,13979,5155
RENAL FAILURE W CC,683,19338,6000
RENAL FAILURE W MCC,682,29998,9436
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,24510,8069
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,41721,11502
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,36483,11213
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,25553,6881
SIMPLE PNEUMONIA & PLEURISY W CC,194,25354,6042
SIMPLE PNEUMONIA & PLEURISY W MCC,193,27735,8654
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,16787,4407
SYNCOPE & COLLAPSE,312,23081,4333
