description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,13410,5616
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,19110,6323
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,23343,7677
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16703,4963
DIABETES W CC,638,17978,6079
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19768,4931
G.I. HEMORRHAGE W CC,378,22596,6707
HEART FAILURE & SHOCK W CC,292,17179,6617
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,17954,7473
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15684,4886
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13712,4693
PULMONARY EDEMA & RESPIRATORY FAILURE,189,26807,8777
RENAL FAILURE W CC,683,17874,7034
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,32994,13380
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,22573,7320
SIMPLE PNEUMONIA & PLEURISY W CC,194,21713,6965
