description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,12960,5814
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,6553,3875
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,9911,6600
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,11336,7954
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,8229,4900
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,9403,4953
G.I. HEMORRHAGE W CC,378,15189,6986
HEART FAILURE & SHOCK W CC,292,10352,6721
HEART FAILURE & SHOCK W MCC,291,18153,10191
HEART FAILURE & SHOCK W/O CC/MCC,293,7037,4513
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,12290,7964
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,11472,5416
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,26999,14095
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,7254,4742
PULMONARY EDEMA & RESPIRATORY FAILURE,189,12171,8388
RENAL FAILURE W CC,683,12248,6864
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,20780,13724
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,22467,12205
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,11059,7407
SIMPLE PNEUMONIA & PLEURISY W CC,194,12787,6787
SIMPLE PNEUMONIA & PLEURISY W MCC,193,18293,9719
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,7483,4789
