description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,24090,6682
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,27783,10174
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,25758,5021
BRONCHITIS & ASTHMA W CC/MCC,202,15232,5311
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13737,4671
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,20305,7022
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9482,3200
CELLULITIS W MCC,602,22713,8128
CELLULITIS W/O MCC,603,16068,4872
CHEST PAIN,313,9510,3080
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,19140,5719
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,22173,6885
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17858,4098
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,27507,6102
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,18332,4872
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,12196,5253
DIABETES W CC,638,14289,4559
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,22516,6128
DYSEQUILIBRIUM,149,14339,3602
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,22412,7728
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15228,4205
FRACTURES OF HIP & PELVIS W/O MCC,536,11834,3979
G.I. HEMORRHAGE W CC,378,15300,5754
G.I. HEMORRHAGE W MCC,377,25812,9843
G.I. OBSTRUCTION W CC,389,15089,5089
G.I. OBSTRUCTION W/O CC/MCC,390,11840,3595
HEART FAILURE & SHOCK W CC,292,15004,5801
HEART FAILURE & SHOCK W MCC,291,21158,8358
HEART FAILURE & SHOCK W/O CC/MCC,293,12680,3863
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,40173,10463
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,65356,17110
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,18753,6620
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,26335,10018
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,16925,5013
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,18361,6670
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15056,4520
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,17308,7195
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,50639,12681
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,70086,27666
MEDICAL BACK PROBLEMS W/O MCC,552,16198,4724
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13052,3894
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,16256,5412
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,14230,5585
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,16575,5563
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,23591,8993
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,46706,13097
PERIPHERAL VASCULAR DISORDERS W CC,300,13786,5473
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,14724,3876
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24774,7271
PULMONARY EMBOLISM W/O MCC,176,18546,6665
RED BLOOD CELL DISORDERS W MCC,811,19240,7061
RED BLOOD CELL DISORDERS W/O MCC,812,15938,4544
RENAL FAILURE W CC,683,15910,5770
RENAL FAILURE W MCC,682,26397,10022
RENAL FAILURE W/O CC/MCC,684,10550,3643
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,22424,8463
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,36093,11642
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,50580,12707
SEIZURES W/O MCC,101,13223,4285
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,34977,10568
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,20990,7724
SIMPLE PNEUMONIA & PLEURISY W CC,194,18894,5754
SIMPLE PNEUMONIA & PLEURISY W MCC,193,35476,8397
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,14776,4016
SYNCOPE & COLLAPSE,312,12425,4025
TRANSIENT ISCHEMIA,069,14675,4525
