description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,15793,5536
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12840,3621
CELLULITIS W/O MCC,603,18405,5153
CHEST PAIN,313,14546,7701
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,19794,6704
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,24953,7366
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18891,4463
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,26588,7417
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,21735,11278
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19890,5197
G.I. HEMORRHAGE W CC,378,17108,6284
G.I. OBSTRUCTION W CC,389,21679,5708
G.I. OBSTRUCTION W/O CC/MCC,390,15385,3789
HEART FAILURE & SHOCK W CC,292,22220,6513
HEART FAILURE & SHOCK W MCC,291,36178,9151
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,46624,11701
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,19112,6689
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15270,5489
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,45799,13850
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,57864,19534
MEDICAL BACK PROBLEMS W/O MCC,552,14192,5073
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,30670,8238
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13752,4278
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,63203,16925
PERIPHERAL VASCULAR DISORDERS W CC,300,14468,5832
PULMONARY EDEMA & RESPIRATORY FAILURE,189,31304,8713
PULMONARY EMBOLISM W/O MCC,176,22902,7526
RED BLOOD CELL DISORDERS W/O MCC,812,22825,5233
RENAL FAILURE W CC,683,18294,6196
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,29803,9448
SEIZURES W/O MCC,101,15821,5231
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,40110,11862
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,26602,8132
SIGNS & SYMPTOMS W/O MCC,948,13348,4208
SIMPLE PNEUMONIA & PLEURISY W CC,194,25660,6329
SIMPLE PNEUMONIA & PLEURISY W MCC,193,32942,9030
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,20592,4832
SYNCOPE & COLLAPSE,312,15424,5443
TRANSIENT ISCHEMIA,069,19057,4881
