description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,24762,9896
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,9989,4819
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,16872,7673
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8299,3570
CELLULITIS W/O MCC,603,10934,4867
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,19918,5874
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,18337,6886
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14892,4195
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,18827,6124
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,10426,5424
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10770,4250
G.I. HEMORRHAGE W CC,378,13603,5896
HEART FAILURE & SHOCK W CC,292,14576,5961
HEART FAILURE & SHOCK W MCC,291,21686,8489
HEART FAILURE & SHOCK W/O CC/MCC,293,11477,3981
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,29565,11018
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,17241,6708
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,12040,6952
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9497,4388
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,48473,19818
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,36711,12900
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,25557,14784
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,57630,31636
MEDICAL BACK PROBLEMS W/O MCC,552,12209,5491
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9447,3973
PERIPHERAL VASCULAR DISORDERS W CC,300,10420,5599
PULMONARY EDEMA & RESPIRATORY FAILURE,189,29001,8396
PULMONARY EMBOLISM W/O MCC,176,10666,6211
RED BLOOD CELL DISORDERS W/O MCC,812,11710,4525
RENAL FAILURE W CC,683,11277,6000
RENAL FAILURE W MCC,682,15792,9392
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,15650,8171
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,24795,11427
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,22749,10376
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,17985,6710
SIMPLE PNEUMONIA & PLEURISY W CC,194,15296,6132
SIMPLE PNEUMONIA & PLEURISY W MCC,193,21382,8982
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,11918,4119
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,43013,21938
