description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,25858,10000
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,38564,13152
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,18632,5689
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,27446,7498
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11402,5956
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,24033,10021
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10357,4371
CELLULITIS W/O MCC,603,13895,5941
CERVICAL SPINAL FUSION W/O CC/MCC,473,35601,15531
CHEST PAIN,313,13257,4256
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,21766,6848
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,22745,8477
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17373,5243
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,23665,8284
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15137,5298
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,18298,7225
FRACTURES OF HIP & PELVIS W/O MCC,536,11672,5121
G.I. HEMORRHAGE W CC,378,19637,7235
G.I. HEMORRHAGE W/O CC/MCC,379,14046,5112
G.I. OBSTRUCTION W CC,389,18801,7017
G.I. OBSTRUCTION W/O CC/MCC,390,12259,4531
HEART FAILURE & SHOCK W CC,292,19800,7647
HEART FAILURE & SHOCK W MCC,291,35309,12440
HEART FAILURE & SHOCK W/O CC/MCC,293,14335,4836
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,31453,13568
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,48165,21356
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,22476,10898
HYPERTENSION W/O MCC,305,8944,4751
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,32089,8309
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,49134,15920
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,16810,6594
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15216,5572
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,20281,8602
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,51620,21864
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,75913,25620
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,39174,15764
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,43000,18079
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,72192,39372
MEDICAL BACK PROBLEMS W/O MCC,552,17038,5893
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,10487,4886
OTHER VASCULAR PROCEDURES W CC,253,37918,17054
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,23486,11794
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,59680,22757
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,45257,14835
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,40457,13148
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,35000,12763
PERIPHERAL VASCULAR DISORDERS W CC,300,15910,6981
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,29772,18808
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,21742,14432
RED BLOOD CELL DISORDERS W/O MCC,812,13362,5660
RENAL FAILURE W CC,683,23232,7820
RENAL FAILURE W MCC,682,38598,12095
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,28968,10553
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,44877,14935
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,43527,17390
SEIZURES W/O MCC,101,21810,5419
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,38761,14142
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,19646,8819
SIGNS & SYMPTOMS W/O MCC,948,17064,4882
SIMPLE PNEUMONIA & PLEURISY W CC,194,19673,7264
SIMPLE PNEUMONIA & PLEURISY W MCC,193,31820,11318
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,14952,5045
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,60109,28611
SYNCOPE & COLLAPSE,312,14080,5328
TRANSIENT ISCHEMIA,069,21829,5200
