description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,23471,7510
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,38554,11399
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,20649,4006
ATHEROSCLEROSIS W/O MCC,303,15244,3585
BRONCHITIS & ASTHMA W CC/MCC,202,16620,5182
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16425,5190
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,22337,7588
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12575,4274
CELLULITIS W/O MCC,603,15732,6023
CHEST PAIN,313,16916,3672
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,18713,5849
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,21297,7239
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16240,4435
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,37227,12697
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,29898,6833
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,15769,5292
DIABETES W CC,638,18343,5088
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,22745,6604
DYSEQUILIBRIUM,149,17226,3930
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,25423,7161
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16255,4476
FRACTURES OF HIP & PELVIS W/O MCC,536,14462,4372
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,16336,4400
G.I. HEMORRHAGE W CC,378,19149,6261
G.I. OBSTRUCTION W CC,389,19767,6177
G.I. OBSTRUCTION W/O CC/MCC,390,12532,4004
HEART FAILURE & SHOCK W CC,292,18510,6349
HEART FAILURE & SHOCK W MCC,291,22459,8994
HEART FAILURE & SHOCK W/O CC/MCC,293,14006,4233
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,41619,11592
HYPERTENSION W/O MCC,305,17383,3775
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,20252,7322
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,18457,4889
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14494,4739
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,73590,19942
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,75753,23949
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,65036,15164
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,55070,16770
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,112494,41200
MEDICAL BACK PROBLEMS W/O MCC,552,14246,5068
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,25574,7672
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12852,4220
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,22691,5953
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,36176,10998
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,14211,6113
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,21311,6078
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,28578,9347
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,69878,18341
PERIPHERAL VASCULAR DISORDERS W CC,300,17062,5898
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,61854,17487
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,50520,12657
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,13230,3812
PULMONARY EDEMA & RESPIRATORY FAILURE,189,29818,7876
PULMONARY EMBOLISM W/O MCC,176,18923,6564
RED BLOOD CELL DISORDERS W/O MCC,812,16212,4897
RENAL FAILURE W CC,683,15535,6031
RENAL FAILURE W MCC,682,23999,10113
RENAL FAILURE W/O CC/MCC,684,11510,4434
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,24158,8733
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,38478,13006
SEIZURES W/O MCC,101,18517,5137
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,35984,11560
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,27209,7062
SIGNS & SYMPTOMS W/O MCC,948,14213,4184
SIMPLE PNEUMONIA & PLEURISY W CC,194,17240,6151
SIMPLE PNEUMONIA & PLEURISY W MCC,193,37941,11025
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13439,4364
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,87929,30901
SYNCOPE & COLLAPSE,312,16129,4595
TRANSIENT ISCHEMIA,069,16955,4497
