description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,14848,8077
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,16772,11783
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,9264,5694
ATHEROSCLEROSIS W/O MCC,303,13385,4275
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13226,6022
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,16910,9048
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9697,4142
CELLULITIS W/O MCC,603,14832,6351
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13654,6916
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15912,8681
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,10678,5205
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12617,5260
G.I. HEMORRHAGE W CC,378,16451,7120
G.I. HEMORRHAGE W MCC,377,24482,11700
G.I. OBSTRUCTION W CC,389,17586,7028
HEART FAILURE & SHOCK W CC,292,14330,7101
HEART FAILURE & SHOCK W MCC,291,18627,10588
HEART FAILURE & SHOCK W/O CC/MCC,293,9941,4806
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,27423,13530
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,15948,8007
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,15601,5800
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,13743,8540
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,12010,5428
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,31677,15252
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,42210,18941
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11338,4939
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,22731,7194
PULMONARY EDEMA & RESPIRATORY FAILURE,189,18300,9152
RENAL FAILURE W CC,683,14357,7424
RENAL FAILURE W MCC,682,29619,14576
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,16612,10320
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,27376,13655
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,31906,14763
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,25429,13073
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,23793,8018
SIMPLE PNEUMONIA & PLEURISY W CC,194,13938,7094
SIMPLE PNEUMONIA & PLEURISY W MCC,193,20491,10258
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,12862,5175
SYNCOPE & COLLAPSE,312,11284,5326
