description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,61996,7815
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,92952,12320
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,45202,5214
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,30324,4526
ATHEROSCLEROSIS W/O MCC,303,39332,4221
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,50090,6546
BRONCHITIS & ASTHMA W CC/MCC,202,48046,6523
BRONCHITIS & ASTHMA W/O CC/MCC,203,32514,4765
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,46662,5496
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,73594,8643
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,32127,3860
CELLULITIS W MCC,602,72185,9399
CELLULITIS W/O MCC,603,38857,5876
CHEST PAIN,313,36055,3766
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,54310,6524
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,69642,8082
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,41917,4740
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,88384,18695
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,60746,7147
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,44538,6670
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,45593,5996
DIABETES W CC,638,40841,5800
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,42707,6467
DYSEQUILIBRIUM,149,32863,4138
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,59205,7458
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,37716,4986
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,42364,6316
FRACTURES OF HIP & PELVIS W/O MCC,536,31422,4843
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,35291,5554
G.I. HEMORRHAGE W CC,378,56928,6842
G.I. HEMORRHAGE W MCC,377,96622,11982
G.I. HEMORRHAGE W/O CC/MCC,379,37080,4725
G.I. OBSTRUCTION W CC,389,44719,6502
G.I. OBSTRUCTION W/O CC/MCC,390,32626,4776
HEART FAILURE & SHOCK W CC,292,51217,6761
HEART FAILURE & SHOCK W MCC,291,85726,10339
HEART FAILURE & SHOCK W/O CC/MCC,293,35242,4359
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,78564,12034
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,139356,20395
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,65564,10474
HYPERTENSION W/O MCC,305,34306,4603
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,234259,38733
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,58289,7391
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,83229,12668
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,42222,5338
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,62826,8134
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,40488,5249
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,83316,11614
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,63676,7453
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,112346,20576
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,70475,11045
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,171792,22335
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,87693,14500
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,116661,17323
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,267964,38896
MEDICAL BACK PROBLEMS W/O MCC,552,37608,5569
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,61729,7381
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,38322,4863
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,57750,6658
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,84359,13287
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,44302,6389
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,39183,6057
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,54808,9519
OTHER VASCULAR PROCEDURES W CC,253,122283,18097
OTHER VASCULAR PROCEDURES W MCC,252,172351,22462
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,105119,12161
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,165092,54232
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,113057,13420
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,103894,11378
PERIPHERAL VASCULAR DISORDERS W CC,300,49435,6465
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,30742,4398
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,111104,17371
